"pesticide","food","EDI_prob","HQ_p5","HQ_p50","HQ_p95","HQ_exceed","LCR_p5","LCR_p50","LCR_p95","LCR_exceed"
"Fenobucarb","Honey",4.52196529874204e-05,NA,NA,NA,NA,NA,NA,NA,NA
"Flazasulfuron","Fish",0.000175032351006229,0.000190715481434173,0.00309265768820373,0.04981509773676,0.05,NA,NA,NA,NA
"Gamma-Hch","Fish",4.82402313402221e-05,5.76055222129721e-05,0.00444518010601637,0.340779154493898,2.08,NA,NA,NA,NA
"Gamma-Hch","Honey",0.000204712599546706,0.043421062938201,0.326011077245571,2.41458999311618,18.05,NA,NA,NA,NA
"Gamma-Hch","Khat",0.000182012251865977,0.00842556332549465,0.142027088981674,2.35294123660208,12.33,NA,NA,NA,NA
"Heptachlor","Cabbage",0.000394605842103862,0.0543451248520081,0.383855831048981,2.72651720809639,21.04,0.000122276530917018,0.000863675619860208,0.00613466371821688,96.61
"Heptachlor","Drinking Water",0.0017857791757908,1.82579910580941,3.34241459699756,6.05387127552367,99.99,0.00410804798807117,0.0075204328432445,0.0136212103699283,100
"Heptachlor","Fish",0.00060781122925775,0.0435024264874541,0.449771829805768,4.44548020623669,28.16,9.78804595967717e-05,0.00101198661706298,0.0100023304640326,94.81
"Heptachlor","Honey",5.63765034111073e-05,0.00350376834489997,0.0362265340669434,0.420091482026913,1.35,7.88347877602493e-06,8.15097016506228e-05,0.000945205834560555,44.84
"Heptachlor","Khat",0.000182710267441377,0.00858731585720908,0.108248163310975,1.42837914302482,7.7,1.93214606787204e-05,0.000243558367449693,0.00321385307180585,71.42
"Heptachlor","Milk",0.000389891888014493,0.0797274863129937,0.450924535565044,2.46291998261355,22.11,0.000179386844204236,0.00101458020502135,0.00554156996088049,98.57
"Heptachlor","Onion",0.00106506430230373,0.230538279619066,1.27822122394243,6.73886630596528,59.39,0.000518711129142898,0.00287599775387048,0.0151624491884219,99.94
"Heptachlor","Potato",0.00109321467950988,0.276130165754185,1.36929066658733,6.76779542704562,63.14,0.000621292872946916,0.0030809039998215,0.0152275397108527,99.99
