"pesticide","type","class","food","food_origin","food_group","k","n_samp","Mean","SD"
"methoxychlor","Insecticide","Organochlorine","Potato","Plant Origin","Vegetables",5,20,2.58,8.05
"methoxychlor","Insecticide","Organochlorine","Tea","Others","Others",15,45,212,6.78
"methoxychlor","Insecticide","Organochlorine","Tomato","Plant Origin","Vegetables",8,32,10.5,6.05
"metribuzin","Herbicide",NA,"Honey","Others","Others",14,153,5.91,15.71
"o,p'-DDD","Insecticide","Organochlorine","Fish","Animal Orgin","Meat",4,50,6.31,43.56
"o,p'-DDD","Insecticide","Organochlorine","Khat","Others","Others",5,35,1.42,7.22
"o,p'-DDE","Insecticide","Organochlorine","Fish","Animal Orgin","Meat",9,156,0.95,32.1
"o,p'-DDE","Insecticide","Organochlorine","Khat","Others","Others",5,35,0.86,8.05
"o,p'-DDT","Insecticide","Organochlorine","Cabbage","Plant Origin","Vegetables",4,48,86.48,19.75
"o,p'-DDT","Insecticide","Organochlorine","Drinking water","Others","Others",6,18,52.71,13.66
"o,p'-DDT","Insecticide","Organochlorine","Fish","Animal Orgin","Meat",8,150,2.54,30.37
"o,p'-DDT","Insecticide","Organochlorine","Khat","Others","Others",26,168,17.27,18.92
"o,p'-DDT","Insecticide","Organochlorine","Meat","Animal Orgin","Meat",3,15,59.31,26.41
"o,p'-DDT","Insecticide","Organochlorine","Milk","Animal Orgin","Milk",30,150,11.17,20.45
"o,p'-DDT","Insecticide","Organochlorine","Onion","Plant Origin","Vegetables",4,48,49.09,16.63
"o,p'-DDT","Insecticide","Organochlorine","Potato","Plant Origin","Vegetables",4,48,6.98,8.8
"o,p'-DDT","Insecticide","Organochlorine","Wheat","Plant Origin","Cereals",14,66,17.7,9.67
"oxamyl","Insecticide","Carbamate","Fish","Animal Orgin","Meat",2,16,26.8,8.44
"oxy-chlordane","Insecticide","Organochlorine","Fish","Animal Orgin","Meat",4,100,0.1,22
"p,p'-DDD","Insecticide","Organochlorine","Cabbage","Plant Origin","Vegetables",4,48,46.35,12.96
"p,p'-DDD","Insecticide","Organochlorine","Drinking water","Others","Others",6,18,91.14,19.18
"p,p'-DDD","Insecticide","Organochlorine","Fish","Animal Orgin","Meat",14,410,2.59,28.96
"p,p'-DDD","Insecticide","Organochlorine","Honey","Others","Others",6,90,15.3,13.66
"p,p'-DDD","Insecticide","Organochlorine","Khat","Others","Others",21,147,6.59,15.16
"p,p'-DDD","Insecticide","Organochlorine","Milk","Animal Orgin","Milk",6,45,20.48,11.61
"p,p'-DDD","Insecticide","Organochlorine","Onion","Plant Origin","Vegetables",4,48,52.71,13.09
"p,p'-DDD","Insecticide","Organochlorine","Potato","Plant Origin","Vegetables",4,48,5.04,7.97
"p,p'-DDE","Insecticide","Organochlorine","Cabbage","Plant Origin","Vegetables",5,70,31.68,12.38
"p,p'-DDE","Insecticide","Organochlorine","Corn","Plant Origin","Cereals",3,9,14.89,7.77
"p,p'-DDE","Insecticide","Organochlorine","Drinking water","Others","Others",6,18,0.6,6.19
"p,p'-DDE","Insecticide","Organochlorine","Fish","Animal Orgin","Meat",23,756,4.04,34.09
"p,p'-DDE","Insecticide","Organochlorine","Honey","Others","Others",6,90,11.68,12.05
"p,p'-DDE","Insecticide","Organochlorine","Khat","Others","Others",43,248,14.06,20
"p,p'-DDE","Insecticide","Organochlorine","Milk","Animal Orgin","Milk",36,195,10.42,20.95
"p,p'-DDE","Insecticide","Organochlorine","Millet","Plant Origin","Cereals",3,9,72.01,9.54
"p,p'-DDE","Insecticide","Organochlorine","Onion","Plant Origin","Vegetables",27,152,4.5,14.79
"p,p'-DDE","Insecticide","Organochlorine","Pineapple","Plant Origin","Fruits",5,20,1.65,18.74
"p,p'-DDE","Insecticide","Organochlorine","Potato","Plant Origin","Vegetables",9,68,3.07,10.56
"p,p'-DDE","Insecticide","Organochlorine","Rice","Plant Origin","Cereals",3,9,46.21,15.21
"p,p'-DDE","Insecticide","Organochlorine","Sorghum","Plant Origin","Cereals",3,9,60.53,15.12
"p,p'-DDE","Insecticide","Organochlorine","Tomato","Plant Origin","Vegetables",29,147,0.89,14.79
"p,p'-DDE","Insecticide","Organochlorine","Wheat","Plant Origin","Cereals",14,66,22.83,11.21
"p,p'-DDT","Insecticide","Organochlorine","Cabbage","Plant Origin","Vegetables",4,48,37.93,10.25
"p,p'-DDT","Insecticide","Organochlorine","Corn","Plant Origin","Cereals",3,9,26.21,10.74
"p,p'-DDT","Insecticide","Organochlorine","Drinking water","Others","Others",6,18,15.36,9.63
"p,p'-DDT","Insecticide","Organochlorine","Fish","Animal Orgin","Meat",14,410,3,29.77
"p,p'-DDT","Insecticide","Organochlorine","Honey","Others","Others",7,98,6.47,13.46
"p,p'-DDT","Insecticide","Organochlorine","Khat","Others","Others",37,238,19.8,18.67
"p,p'-DDT","Insecticide","Organochlorine","Milk","Animal Orgin","Milk",34,185,38.82,20.4
"p,p'-DDT","Insecticide","Organochlorine","Millet","Plant Origin","Cereals",3,9,57.46,18.33
"p,p'-DDT","Insecticide","Organochlorine","Onion","Plant Origin","Vegetables",27,152,7.72,13.56
"p,p'-DDT","Insecticide","Organochlorine","Pineapple","Plant Origin","Fruits",5,20,2.62,9.3
"p,p'-DDT","Insecticide","Organochlorine","Potato","Plant Origin","Vegetables",9,68,10.88,18.55
"p,p'-DDT","Insecticide","Organochlorine","Rice","Plant Origin","Cereals",3,9,41.08,17.34
"p,p'-DDT","Insecticide","Organochlorine","Sorghum","Plant Origin","Cereals",3,9,45.47,10.95
"p,p'-DDT","Insecticide","Organochlorine","Tea","Others","Others",11,33,385.44,9.36
"p,p'-DDT","Insecticide","Organochlorine","Tomato","Plant Origin","Vegetables",28,132,1.44,15.85
"p,p'-DDT","Insecticide","Organochlorine","Wheat","Plant Origin","Cereals",16,76,46.48,15.69
"pirimiphos-methyl","Insecticide","Organophosphate","Fish","Animal Orgin","Meat",2,16,0.55,7.4
"profenofos","Insecticide","Organophosphate","Cabbage","Plant Origin","Vegetables",2,212,17.78,282.61
"profenofos","Insecticide","Organophosphate","Drinking water","Others","Others",3,18,49.11,14.34
"profenofos","Insecticide","Organophosphate","Milk","Animal Orgin","Milk",3,15,5.7,6.66
"profenofos","Insecticide","Organophosphate","Onion","Plant Origin","Vegetables",21,106,0.99,17.71
"profenofos","Insecticide","Organophosphate","Swiss chard","Plant Origin","Vegetables",2,70,6.99,103.16
"profenofos","Insecticide","Organophosphate","Tomato","Plant Origin","Vegetables",23,291,10.88,21.49
"propargite","Insecticide","Other","Cabbage","Plant Origin","Vegetables",2,212,1.41,41.93
"propargite","Insecticide","Other","Swiss chard","Plant Origin","Vegetables",2,70,0.49,14.47
"propargite","Insecticide","Other","Tomato","Plant Origin","Vegetables",3,191,2.93,34.55
"pyrimethanil","Fungicide",NA,"Fish","Animal Orgin","Meat",2,16,7.41,18.28
"rotenone","Insecticide","Other","Honey","Others","Others",14,99,8.09,15.12
"tebuconazole","Fungicide",NA,"Fish","Animal Orgin","Meat",2,16,0.73,7.6
"tebuconazole","Fungicide",NA,"Honey","Others","Others",14,96,11.55,17.34
"thiamethoxam","Insecticide","Neonicotinoid","Honey","Others","Others",14,84,9.6,15.31
"trans-chlordane","Insecticide","Organochlorine","Cabbage","Plant Origin","Vegetables",5,70,5.41,9.12
"trans-chlordane","Insecticide","Organochlorine","Drinking water","Others","Others",6,18,4.28,5.26
"trans-chlordane","Insecticide","Organochlorine","Fish","Animal Orgin","Meat",5,106,1.01,43.14
"trans-chlordane","Insecticide","Organochlorine","Honey","Others","Others",6,90,4.62,12.71
"trans-chlordane","Insecticide","Organochlorine","Khat","Others","Others",5,39,9.66,22.29
"trans-chlordane","Insecticide","Organochlorine","Onion","Plant Origin","Vegetables",8,64,9.4,11.52
"trans-chlordane","Insecticide","Organochlorine","Potato","Plant Origin","Vegetables",4,48,4,7
"trans-chlordane","Insecticide","Organochlorine","Tea","Others","Others",14,42,354.22,16.2
"trans-chlordane","Insecticide","Organochlorine","Tomato","Plant Origin","Vegetables",3,12,3.87,5.92
"trans-heptachlor-epoxide","Insecticide","Organochlorine","Fish","Animal Orgin","Meat",4,100,0.35,16.1
"trans-nonachlor","Insecticide","Organochlorine","Fish","Animal Orgin","Meat",4,100,0.34,13
